C.D.S.  -  SIMBAD4 rel 1.8  -  2023.06.26CEST11:33:38

 IdentList
----------

 # 	typed ident	            identifier             	          typ          	       coord1 (ICRS,J2000/2000)        	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
---	-----------	-----------------------------------	-----------------------	---------------------------------------	---------	---------	---------	---------	---------	---------------	----	----
116	hip 95301  	BD+09 4085                         	Double or Multiple Star	19 23 17.81797 +09 30 41.7256          	     ~   	     ~   	     ~   	     ~   	     ~   	A0             	  11	   0
117	hip 103160 	HIP 103160                         	Star                   	20 54 02.2284155328 +07 05 34.501730208	     ~   	12.86    	11.46    	     ~   	     ~   	M1             	   6	   0
118	hip 40239  	BD-13 2439                         	Double or Multiple Star	08 13 08.49769 -13 55 01.5165          	11.999   	10.785   	9.374    	8.5      	7.658    	M0V            	  94	   0
119	hip 59844  	V* BH Cru                          	Carbon Star            	12 16 16.7900401416 -56 17 09.626993196	     ~   	10.60    	7.96     	     ~   	     ~   	C8,2           	  77	   1
120	hip 8078   	HD 10619                           	Double or Multiple Star	01 43 44.92706 +09 34 07.1665          	     ~   	     ~   	9.20     	8.86     	     ~   	K0             	  48	   0
121	hip 98334  	V* RU Sgr                          	Mira Variable          	19 58 42.8689606920 -41 50 57.942832992	     ~   	9.455    	8.119    	8.06     	     ~   	M6e:           	  57	   1
122	hip 61898  	HD 110206                          	Double or Multiple Star	12 41 02.96291 -58 15 13.5827          	     ~   	     ~   	     ~   	     ~   	     ~   	B8V            	   9	   0
123	hip 60934  	HD 108683                          	Carbon Star            	12 29 21.0125626848 -38 15 50.258836188	     ~   	11.8     	9.4      	     ~   	     ~   	C4:,3          	  26	   0
124	hip 71386  	V* Z Lup                           	Carbon Star            	14 35 51.7119765336 -43 22 02.620768728	     ~   	11.47    	10.50    	     ~   	     ~   	C4,3           	  39	   0
125	hip 106998 	GSC 02729-01169                    	Double or Multiple Star	21 40 10.85757 +37 03 20.8259          	     ~   	     ~   	     ~   	     ~   	     ~   	~              	   6	   1
126	hip 67186  	HD 119931                          	Double or Multiple Star	13 46 06.7604502 +05 06 56.161493      	     ~   	8.92     	8.54     	8.03     	     ~   	G0             	 170	   0
127	hip 26878  	AG+79 168                          	Double or Multiple Star	05 42 23.8303594 +79 19 45.408891      	     ~   	     ~   	     ~   	9.305    	     ~   	~              	   8	   0
128	hip 48520  	V* S LMi                           	Mira Variable          	09 53 43.1696103456 +34 55 35.344374816	     ~   	10.45    	9.34     	8.38     	     ~   	M4-5.5e        	  67	   0
129	hip 18603  	HD 24775B                          	Star                   	03 58 50.3603140344 +51 29 47.928665292	     ~   	11.7     	11.0     	     ~   	     ~   	~              	   6	   0
130	hip 60695  	G 123-33                           	High Proper Motion Star	12 26 21.6907372551 +35 55 59.316202207	     ~   	     ~   	     ~   	11.108   	     ~   	K5V            	  22	   0
131	hip 78374  	HD 143229                          	Double or Multiple Star	16 00 00.9821329515 -23 12 00.950344321	     ~   	     ~   	     ~   	9.515    	     ~   	F0V            	  11	   0
132	hip 106884 	LS III +57 12                      	Double or Multiple Star	21 38 56.7210584448 +57 29 39.130347948	7.53     	     ~   	     ~   	8.73     	     ~   	B1V            	  47	   0
133	hip 98447  	V* BQ Pav                          	Mira Variable          	20 00 11.0546083560 -69 52 54.616241280	     ~   	11.83    	10.43    	     ~   	     ~   	~              	  19	   0
134	hip 97629  	* chi Cyg                          	S Star                 	19 50 33.9213430345 +32 54 50.575531294	7.02     	6.06     	4.24     	1.81     	-0.01    	S6-9/1-2e      	 686	   0
